security,trade_date,display_name,open,close,high,low,pre_close,change_pct,volume
XIN9,2022-03-17,富时中国A50指数(富时A50),13322.3,13624.35,13828.43,13322.3,13322.3,2.27,0.0
XIN9,2022-03-16,富时中国A50指数(富时A50),12712.98,13322.3,13369.17,12641.87,12712.98,4.79,0.0
XIN9,2022-03-15,富时中国A50指数(富时A50),13363.62,12712.98,13363.62,12712.98,13363.62,-4.87,0.0
XIN9,2022-03-14,富时中国A50指数(富时A50),13846.46,13363.62,13846.46,13363.62,13846.46,-3.49,0.0
XIN9,2022-03-11,富时中国A50指数(富时A50),13829.96,13846.46,13891.19,13445.54,13829.96,0.12,0.0
XIN9,2022-03-10,富时中国A50指数(富时A50),13644.96,13829.96,13981.1,13644.96,13644.96,1.36,0.0
XIN9,2022-03-09,富时中国A50指数(富时A50),13722.87,13644.96,13865.62,13170.0,13722.87,-0.57,0.0
XIN9,2022-03-07,富时中国A50指数(富时A50),14417.24,13904.27,14417.24,13855.74,14417.24,-3.56,0.0
XIN9,2022-03-04,富时中国A50指数(富时A50),14654.44,14417.24,14654.44,14366.18,14654.44,-1.62,0.0
XIN9,2022-03-03,富时中国A50指数(富时A50),14764.13,14654.44,14828.69,14634.95,14764.13,-0.74,0.0
XIN9,2022-03-01,富时中国A50指数(富时A50),14733.32,14928.45,14944.3,14733.32,14733.32,1.32,0.0
XIN9,2022-02-28,富时中国A50指数(富时A50),14711.55,14733.32,14733.32,14567.94,14711.55,0.15,0.0
XIN9,2022-02-25,富时中国A50指数(富时A50),14591.85,14711.55,14842.25,14590.59,14591.85,0.82,0.0
XIN9,2022-02-24,富时中国A50指数(富时A50),14912.12,14591.85,14912.12,14489.95,14912.12,-2.15,0.0
XIN9,2022-02-23,富时中国A50指数(富时A50),14835.39,14912.12,14921.84,14792.23,14835.39,0.52,0.0
XIN9,2022-02-22,富时中国A50指数(富时A50),15074.38,14835.39,15074.38,14744.11,15074.38,-1.59,0.0
XIN9,2022-02-21,富时中国A50指数(富时A50),15192.66,15074.38,15192.66,14995.9,15192.66,-0.78,0.0
XIN9,2022-02-18,富时中国A50指数(富时A50),15097.29,15192.66,15192.66,15007.78,15097.29,0.63,0.0
XIN9,2022-02-17,富时中国A50指数(富时A50),15079.73,15097.29,15186.45,15067.35,15079.73,0.12,0.0
XIN9,2022-02-16,富时中国A50指数(富时A50),15007.7,15079.73,15150.66,15007.69,15007.7,0.48,0.0
XIN9,2022-02-15,富时中国A50指数(富时A50),14952.22,15007.7,15051.82,14906.21,14952.22,0.37,0.0
XIN9,2022-02-14,富时中国A50指数(富时A50),15106.71,14952.22,15126.58,14891.17,15106.71,-1.02,0.0
XIN9,2022-02-10,富时中国A50指数(富时A50),15142.59,15131.53,15172.58,15021.18,15142.59,-0.07,0.0
XIN9,2022-02-09,富时中国A50指数(富时A50),14967.63,15142.59,15183.06,14962.35,14967.63,1.17,0.0
XIN9,2022-02-08,富时中国A50指数(富时A50),15041.65,14967.63,15041.75,14679.9,15041.65,-0.49,0.0
XIN9,2022-02-07,富时中国A50指数(富时A50),14769.78,15041.65,15163.81,14769.78,14769.78,1.84,0.0
XIN9,2022-01-28,富时中国A50指数(富时A50),15024.56,14769.78,15157.58,14740.29,15024.56,-1.7,0.0
XIN9,2022-01-27,富时中国A50指数(富时A50),15226.31,15024.56,15278.04,15012.51,15226.31,-1.33,0.0
XIN9,2022-01-25,富时中国A50指数(富时A50),15408.24,15104.22,15408.24,15103.46,15408.24,-1.97,0.0
XIN9,2022-01-24,富时中国A50指数(富时A50),15461.31,15408.24,15473.26,15300.84,15461.31,-0.34,0.0
XIN9,2022-01-21,富时中国A50指数(富时A50),15499.52,15461.31,15531.92,15370.91,15499.52,-0.25,0.0
XIN9,2022-01-20,富时中国A50指数(富时A50),15230.69,15499.52,15569.29,15219.54,15230.69,1.77,0.0
XIN9,2022-01-19,富时中国A50指数(富时A50),15297.27,15230.69,15370.29,15150.64,15297.27,-0.44,0.0
XIN9,2022-01-18,富时中国A50指数(富时A50),15147.46,15297.27,15349.72,15083.96,15147.46,0.99,0.0
XIN9,2022-01-17,富时中国A50指数(富时A50),15064.2,15147.46,15190.96,15039.93,15064.2,0.55,0.0
XIN9,2022-01-14,富时中国A50指数(富时A50),15252.44,15064.2,15252.44,15054.29,15252.44,-1.23,0.0
XIN9,2022-01-13,富时中国A50指数(富时A50),15511.14,15252.44,15555.11,15249.12,15511.14,-1.67,0.0
XIN9,2022-01-11,富时中国A50指数(富时A50),15446.2,15347.18,15488.55,15329.49,15446.2,-0.64,0.0
XIN9,2022-01-10,富时中国A50指数(富时A50),15404.55,15446.2,15466.06,15249.39,15404.55,0.27,0.0
XIN9,2022-01-07,富时中国A50指数(富时A50),15359.03,15404.55,15477.97,15340.46,15359.03,0.3,0.0
XIN9,2022-01-06,富时中国A50指数(富时A50),15614.93,15359.03,15615.22,15285.45,15614.93,-1.64,0.0
XIN9,2022-01-05,富时中国A50指数(富时A50),15654.2,15614.93,15774.49,15556.13,15654.2,-0.25,0.0
XIN9,2022-01-04,富时中国A50指数(富时A50),15698.01,15654.2,15775.9,15455.67,15698.01,-0.28,0.0
XIN9,2021-12-31,富时中国A50指数(富时A50),15679.33,15698.01,15762.23,15634.84,15679.33,0.12,0.0
XIN9,2021-12-30,富时中国A50指数(富时A50),15572.28,15679.33,15749.49,15550.83,15572.28,0.69,0.0
XIN9,2021-12-29,富时中国A50指数(富时A50),15929.57,15572.28,15954.99,15572.28,15929.57,-2.24,0.0
XIN9,2021-12-28,富时中国A50指数(富时A50),15811.08,15929.57,15945.94,15805.87,15811.08,0.75,0.0
XIN9,2021-12-27,富时中国A50指数(富时A50),15890.21,15811.08,15900.13,15740.06,15890.21,-0.5,0.0
XIN9,2021-12-24,富时中国A50指数(富时A50),15916.82,15890.21,16029.01,15818.69,15916.82,-0.17,0.0
XIN9,2021-12-23,富时中国A50指数(富时A50),15764.23,15916.82,15916.82,15698.82,15764.23,0.97,0.0
XIN9,2021-12-21,富时中国A50指数(富时A50),15743.5,15791.28,15842.18,15684.79,15743.5,0.3,0.0
XIN9,2021-12-20,富时中国A50指数(富时A50),15880.96,15743.5,15966.69,15705.17,15880.96,-0.87,0.0
XIN9,2021-12-17,富时中国A50指数(富时A50),16158.47,15880.96,16159.23,15880.09,16158.47,-1.72,0.0
XIN9,2021-12-15,富时中国A50指数(富时A50),16252.99,16119.97,16293.34,16110.84,16252.99,-0.82,0.0
XIN9,2021-12-14,富时中国A50指数(富时A50),16365.3,16252.99,16376.02,16211.14,16365.3,-0.69,0.0
XIN9,2021-12-13,富时中国A50指数(富时A50),16283.83,16365.3,16688.39,16283.83,16283.83,0.5,0.0
XIN9,2021-12-10,富时中国A50指数(富时A50),16312.07,16283.83,16312.07,16176.5,16312.07,-0.17,0.0
XIN9,2021-12-09,富时中国A50指数(富时A50),16033.3,16312.07,16466.14,16031.57,16033.3,1.74,0.0
XIN9,2021-12-08,富时中国A50指数(富时A50),15787.21,16033.3,16039.61,15719.38,15787.21,1.56,0.0
XIN9,2021-12-07,富时中国A50指数(富时A50),15664.59,15787.21,15831.57,15664.59,15664.59,0.78,0.0
XIN9,2021-12-06,富时中国A50指数(富时A50),15607.09,15664.59,15803.43,15599.32,15607.09,0.37,0.0
XIN9,2021-12-03,富时中国A50指数(富时A50),15457.37,15607.09,15607.09,15428.66,15457.37,0.97,0.0
XIN9,2021-12-02,富时中国A50指数(富时A50),15402.24,15457.37,15494.4,15319.08,15402.24,0.36,0.0
XIN9,2021-12-01,富时中国A50指数(富时A50),15359.61,15402.24,15427.41,15328.05,15359.61,0.28,0.0
XIN9,2021-11-30,富时中国A50指数(富时A50),15511.16,15359.61,15532.37,15305.6,15511.16,-0.98,0.0
XIN9,2021-11-29,富时中国A50指数(富时A50),15488.25,15511.16,15511.2,15386.17,15488.25,0.15,0.0
XIN9,2021-11-26,富时中国A50指数(富时A50),15638.67,15488.25,15640.5,15453.73,15638.67,-0.96,0.0
XIN9,2021-11-25,富时中国A50指数(富时A50),15719.85,15638.67,15763.41,15602.19,15719.85,-0.52,0.0
XIN9,2021-11-24,富时中国A50指数(富时A50),15649.6,15719.85,15796.81,15612.73,15649.6,0.45,0.0
XIN9,2021-11-23,富时中国A50指数(富时A50),15651.37,15649.6,15745.73,15592.81,15651.37,-0.01,0.0
XIN9,2021-11-22,富时中国A50指数(富时A50),15620.39,15651.37,15738.62,15620.39,15620.39,0.2,0.0
XIN9,2021-11-19,富时中国A50指数(富时A50),15415.42,15620.39,15667.78,15386.14,15415.42,1.33,0.0
XIN9,2021-11-18,富时中国A50指数(富时A50),15566.69,15415.42,15566.69,15373.66,15566.69,-0.97,0.0
XIN9,2021-11-17,富时中国A50指数(富时A50),15607.01,15566.69,15645.03,15524.86,15607.01,-0.26,0.0
XIN9,2021-11-16,富时中国A50指数(富时A50),15552.25,15607.01,15694.33,15547.75,15552.25,0.35,0.0
XIN9,2021-11-15,富时中国A50指数(富时A50),15555.16,15552.25,15634.97,15482.41,15555.16,-0.02,0.0
XIN9,2021-11-12,富时中国A50指数(富时A50),15679.04,15555.16,15730.51,15520.45,15679.04,-0.79,0.0
XIN9,2021-11-11,富时中国A50指数(富时A50),15359.1,15679.04,15679.04,15322.12,15359.1,2.08,0.0
XIN9,2021-11-10,富时中国A50指数(富时A50),15503.33,15359.1,15504.57,15158.12,15503.33,-0.93,0.0
XIN9,2021-11-09,富时中国A50指数(富时A50),15578.41,15503.33,15666.57,15452.13,15578.41,-0.48,0.0
XIN9,2021-11-08,富时中国A50指数(富时A50),15591.46,15578.41,15664.73,15499.35,15591.46,-0.08,0.0
XIN9,2021-11-05,富时中国A50指数(富时A50),15624.61,15591.46,15743.46,15539.73,15624.61,-0.21,0.0
XIN9,2021-11-04,富时中国A50指数(富时A50),15412.09,15624.61,15656.03,15412.09,15412.09,1.38,0.0
XIN9,2021-11-03,富时中国A50指数(富时A50),15546.46,15412.09,15594.25,15382.61,15546.46,-0.86,0.0
XIN9,2021-11-02,富时中国A50指数(富时A50),15768.14,15546.46,15828.91,15409.59,15768.14,-1.41,0.0
XIN9,2021-11-01,富时中国A50指数(富时A50),15882.05,15768.14,15882.05,15574.4,15882.05,-0.72,0.0
XIN9,2021-10-29,富时中国A50指数(富时A50),15777.82,15882.05,15882.05,15777.82,15777.82,0.66,0.0
XIN9,2021-10-28,富时中国A50指数(富时A50),15858.31,15777.82,15887.31,15736.13,15858.31,-0.51,0.0
XIN9,2021-10-27,富时中国A50指数(富时A50),16079.35,15858.31,16079.35,15800.42,16079.35,-1.37,0.0
XIN9,2021-10-26,富时中国A50指数(富时A50),16168.18,16079.35,16278.6,16050.98,16168.18,-0.55,0.0
XIN9,2021-10-25,富时中国A50指数(富时A50),16189.35,16168.18,16190.78,16030.04,16189.35,-0.13,0.0
XIN9,2021-10-22,富时中国A50指数(富时A50),15999.86,16189.35,16286.29,15996.2,15999.86,1.18,0.0
XIN9,2021-10-21,富时中国A50指数(富时A50),15840.38,15999.86,16061.04,15840.38,15840.38,1.01,0.0
XIN9,2021-10-20,富时中国A50指数(富时A50),15858.59,15840.38,15990.6,15771.67,15858.59,-0.11,0.0
XIN9,2021-10-19,富时中国A50指数(富时A50),15682.22,15858.59,15893.37,15670.26,15682.22,1.12,0.0
XIN9,2021-10-18,富时中国A50指数(富时A50),16033.8,15682.22,16051.65,15598.16,16033.8,-2.19,0.0
XIN9,2021-10-15,富时中国A50指数(富时A50),15957.97,16033.8,16056.18,15849.01,15957.97,0.48,0.0
XIN9,2021-10-14,富时中国A50指数(富时A50),16080.57,15957.97,16143.87,15906.88,16080.57,-0.76,0.0
XIN9,2021-10-13,富时中国A50指数(富时A50),15870.42,16080.57,16174.47,15801.08,15870.42,1.32,0.0
XIN9,2021-10-12,富时中国A50指数(富时A50),15932.35,15870.42,15980.63,15742.81,15932.35,-0.39,0.0
XIN9,2021-10-11,富时中国A50指数(富时A50),15816.73,15932.35,16154.42,15816.73,15816.73,0.73,0.0
XIN9,2021-10-08,富时中国A50指数(富时A50),15486.32,15816.73,15865.37,15486.32,15486.32,2.13,0.0
XIN9,2021-09-30,富时中国A50指数(富时A50),15437.62,15486.32,15531.08,15417.68,15437.62,0.32,0.0
XIN9,2021-09-29,富时中国A50指数(富时A50),15471.53,15437.62,15554.37,15228.78,15471.53,-0.22,0.0
XIN9,2021-09-28,富时中国A50指数(富时A50),15441.63,15471.53,15559.3,15303.45,15441.63,0.19,0.0
XIN9,2021-09-27,富时中国A50指数(富时A50),15095.72,15441.63,15542.21,15094.77,15095.72,2.29,0.0
XIN9,2021-09-23,富时中国A50指数(富时A50),14964.67,14979.27,15151.49,14927.43,14964.67,0.1,0.0
XIN9,2021-09-22,富时中国A50指数(富时A50),15192.84,14964.67,15192.84,14831.39,15192.84,-1.5,0.0
XIN9,2021-09-17,富时中国A50指数(富时A50),15022.49,15192.84,15207.55,14960.03,15022.49,1.13,0.0
XIN9,2021-09-16,富时中国A50指数(富时A50),15096.88,15022.49,15146.86,14918.03,15096.88,-0.49,0.0
XIN9,2021-09-15,富时中国A50指数(富时A50),15343.78,15096.88,15343.78,15006.68,15343.78,-1.61,0.0
XIN9,2021-09-14,富时中国A50指数(富时A50),15570.54,15343.78,15667.02,15315.23,15570.54,-1.46,0.0
XIN9,2021-09-13,富时中国A50指数(富时A50),15597.18,15570.54,15692.46,15464.44,15597.18,-0.17,0.0
XIN9,2021-09-10,富时中国A50指数(富时A50),15366.34,15597.18,15690.61,15331.12,15366.34,1.5,0.0
XIN9,2021-09-09,富时中国A50指数(富时A50),15397.64,15366.34,15403.14,15256.2,15397.64,-0.2,0.0
XIN9,2021-09-08,富时中国A50指数(富时A50),15544.89,15397.64,15589.33,15347.35,15544.89,-0.95,0.0
XIN9,2021-09-07,富时中国A50指数(富时A50),15388.35,15544.89,15600.47,15283.45,15388.35,1.02,0.0
XIN9,2021-09-06,富时中国A50指数(富时A50),15136.65,15388.35,15462.8,15087.18,15136.65,1.66,0.0
XIN9,2021-09-03,富时中国A50指数(富时A50),15093.72,15136.65,15247.63,14902.02,15093.72,0.28,0.0
XIN9,2021-09-02,富时中国A50指数(富时A50),15120.6,15093.72,15226.18,15015.44,15120.6,-0.18,0.0
XIN9,2021-09-01,富时中国A50指数(富时A50),14759.32,15120.6,15239.53,14601.01,14759.32,2.45,0.0
XIN9,2021-08-31,富时中国A50指数(富时A50),14831.98,14759.32,14919.03,14560.29,14831.98,-0.49,0.0
XIN9,2021-08-30,富时中国A50指数(富时A50),14971.32,14831.98,15027.31,14712.86,14971.32,-0.93,0.0
XIN9,2021-08-27,富时中国A50指数(富时A50),14876.92,14971.32,15128.46,14862.79,14876.92,0.63,0.0
XIN9,2021-08-26,富时中国A50指数(富时A50),15249.41,14876.92,15262.75,14873.04,15249.41,-2.44,0.0
XIN9,2021-08-25,富时中国A50指数(富时A50),15213.05,15249.41,15334.71,15170.12,15213.05,0.24,0.0
XIN9,2021-08-24,富时中国A50指数(富时A50),15016.01,15213.05,15269.09,15011.82,15016.01,1.31,0.0
XIN9,2021-08-23,富时中国A50指数(富时A50),14890.28,15016.01,15094.11,14876.78,14890.28,0.84,0.0
XIN9,2021-08-20,富时中国A50指数(富时A50),15327.38,14890.28,15327.38,14772.07,15327.38,-2.85,0.0
XIN9,2021-08-19,富时中国A50指数(富时A50),15602.41,15327.38,15602.41,15243.0,15602.41,-1.76,0.0
XIN9,2021-08-18,富时中国A50指数(富时A50),15362.71,15602.41,15691.41,15274.09,15362.71,1.56,0.0
XIN9,2021-08-17,富时中国A50指数(富时A50),15739.85,15362.71,15816.76,15331.83,15739.85,-2.4,0.0
XIN9,2021-08-16,富时中国A50指数(富时A50),15741.12,15739.85,15868.49,15664.97,15741.12,-0.01,0.0
XIN9,2021-08-13,富时中国A50指数(富时A50),15732.42,15741.12,15838.12,15640.49,15732.42,0.06,0.0
XIN9,2021-08-12,富时中国A50指数(富时A50),15929.25,15732.42,15929.25,15715.33,15929.25,-1.24,0.0
XIN9,2021-08-11,富时中国A50指数(富时A50),16031.02,15929.25,16116.47,15913.72,16031.02,-0.63,0.0
XIN9,2021-08-10,富时中国A50指数(富时A50),15686.39,16031.02,16048.44,15503.96,15686.39,2.2,0.0
XIN9,2021-08-09,富时中国A50指数(富时A50),15423.44,15686.39,15812.38,15308.42,15423.44,1.7,0.0
XIN9,2021-08-06,富时中国A50指数(富时A50),15474.75,15423.44,15474.75,15318.59,15474.75,-0.33,0.0
XIN9,2021-08-05,富时中国A50指数(富时A50),15585.84,15474.75,15697.8,15365.25,15585.84,-0.71,0.0
XIN9,2021-08-04,富时中国A50指数(富时A50),15601.32,15585.84,15625.34,15476.75,15601.32,-0.1,0.0
XIN9,2021-08-03,富时中国A50指数(富时A50),15506.45,15601.32,15622.2,15353.68,15506.45,0.61,0.0
XIN9,2021-08-02,富时中国A50指数(富时A50),15039.04,15506.45,15540.99,14788.46,15039.04,3.11,0.0
XIN9,2021-07-30,富时中国A50指数(富时A50),15385.0,15039.04,15385.0,14947.19,15385.0,-2.25,0.0
XIN9,2021-07-29,富时中国A50指数(富时A50),15254.86,15385.0,15548.74,15254.86,15254.86,0.85,0.0
XIN9,2021-07-28,富时中国A50指数(富时A50),15086.32,15254.86,15325.52,14904.34,15086.32,1.12,0.0
XIN9,2021-07-27,富时中国A50指数(富时A50),15709.43,15086.32,15744.28,15054.4,15709.43,-3.97,0.0
XIN9,2021-07-26,富时中国A50指数(富时A50),16450.93,15709.43,16461.8,15558.88,16450.93,-4.51,0.0
XIN9,2021-07-23,富时中国A50指数(富时A50),16668.14,16450.93,16669.1,16428.16,16668.14,-1.3,0.0
XIN9,2021-07-22,富时中国A50指数(富时A50),16655.19,16668.14,16776.26,16625.38,16655.19,0.08,0.0
XIN9,2021-07-21,富时中国A50指数(富时A50),16675.87,16655.19,16835.34,16606.48,16675.87,-0.12,0.0
XIN9,2021-07-20,富时中国A50指数(富时A50),16742.88,16675.87,16755.11,16605.27,16742.88,-0.4,0.0
XIN9,2021-07-19,富时中国A50指数(富时A50),16664.3,16742.88,16773.23,16441.64,16664.3,0.47,0.0
XIN9,2021-07-16,富时中国A50指数(富时A50),16919.4,16664.3,16919.4,16645.43,16919.4,-1.51,0.0
XIN9,2021-07-15,富时中国A50指数(富时A50),16592.89,16919.4,16941.23,16532.5,16592.89,1.97,0.0
XIN9,2021-07-14,富时中国A50指数(富时A50),16830.52,16592.89,16830.52,16528.33,16830.52,-1.41,0.0
XIN9,2021-07-13,富时中国A50指数(富时A50),16809.41,16830.52,16932.3,16749.45,16809.41,0.13,0.0
XIN9,2021-07-12,富时中国A50指数(富时A50),16665.48,16809.41,16961.58,16642.45,16665.48,0.86,0.0
XIN9,2021-07-09,富时中国A50指数(富时A50),16770.36,16665.48,16770.36,16528.7,16770.36,-0.63,0.0
XIN9,2021-07-08,富时中国A50指数(富时A50),17077.77,16770.36,17124.74,16714.33,17077.77,-1.8,0.0
XIN9,2021-07-07,富时中国A50指数(富时A50),16982.28,17077.77,17130.76,16887.87,16982.28,0.56,0.0
XIN9,2021-07-06,富时中国A50指数(富时A50),16924.47,16982.28,16992.4,16775.25,16924.47,0.34,0.0
XIN9,2021-07-05,富时中国A50指数(富时A50),16958.03,16924.47,16960.41,16811.05,16958.03,-0.2,0.0
XIN9,2021-07-02,富时中国A50指数(富时A50),17581.07,16958.03,17581.07,16935.64,17581.07,-3.54,0.0
XIN9,2021-07-01,富时中国A50指数(富时A50),17458.48,17581.07,17581.07,17304.35,17458.48,0.7,0.0
XIN9,2021-06-30,富时中国A50指数(富时A50),17380.16,17458.48,17504.08,17349.94,17380.16,0.45,0.0
XIN9,2021-06-29,富时中国A50指数(富时A50),17626.79,17380.16,17628.09,17345.98,17626.79,-1.4,0.0
XIN9,2021-06-28,富时中国A50指数(富时A50),17648.27,17626.79,17712.95,17541.7,17648.27,-0.12,0.0
XIN9,2021-06-25,富时中国A50指数(富时A50),17344.17,17648.27,17705.45,17317.1,17344.17,1.75,0.0
XIN9,2021-06-24,富时中国A50指数(富时A50),17265.79,17344.17,17370.5,17173.1,17265.79,0.45,0.0
XIN9,2021-06-23,富时中国A50指数(富时A50),17267.49,17265.79,17385.37,17199.63,17267.49,-0.01,0.0
XIN9,2021-06-22,富时中国A50指数(富时A50),17124.37,17267.49,17282.17,17124.37,17267.49,-0.01,0.0
XIN9,2021-06-18,富时中国A50指数(富时A50),17385.05,17243.0,17405.45,17108.36,17385.05,-0.82,0.0
XIN9,2021-06-17,富时中国A50指数(富时A50),17402.11,17385.05,17529.21,17324.17,17402.11,-0.1,0.0
XIN9,2021-06-16,富时中国A50指数(富时A50),17652.04,17402.11,17655.29,17381.04,17652.04,-1.42,0.0
XIN9,2021-06-15,富时中国A50指数(富时A50),17886.7,17652.04,17904.53,17514.93,17886.7,-1.31,0.0
XIN9,2021-06-11,富时中国A50指数(富时A50),18076.92,17886.7,18084.88,17828.76,18076.92,-1.05,0.0
XIN9,2021-06-10,富时中国A50指数(富时A50),17941.73,18076.92,18219.6,17915.09,17941.73,0.75,0.0
XIN9,2021-06-09,富时中国A50指数(富时A50),17902.92,17941.73,18020.36,17841.97,17902.92,0.22,0.0
XIN9,2021-06-08,富时中国A50指数(富时A50),18087.67,17902.92,18251.55,17763.51,18087.67,-1.02,0.0
XIN9,2021-06-07,富时中国A50指数(富时A50),18150.06,18087.67,18152.3,17951.25,18150.06,-0.34,0.0
XIN9,2021-06-04,富时中国A50指数(富时A50),18023.5,18150.06,18361.07,17910.52,18023.5,0.7,0.0
XIN9,2021-06-03,富时中国A50指数(富时A50),18116.56,18023.5,18233.25,18009.86,18116.56,-0.51,0.0
XIN9,2021-06-02,富时中国A50指数(富时A50),18258.93,18116.56,18303.81,18022.89,18258.93,-0.78,0.0
XIN9,2021-06-01,富时中国A50指数(富时A50),18222.82,18258.93,18266.63,18007.59,18222.82,0.2,0.0
