day,symbol,vt_symbol,exchange,open,high,low,close,zf_rise
2020-05-07,FG009,FG9999,XZCE,1293.0,1312.0,1290.0,1310.0,0.013147718484145398
2020-05-07,ML9999,NR9999,XINE,8300.0,8550.0,8235.0,8440.0,0.016867469879518072
2020-05-07,RM009,RM9999,XZCE,2372.0,2388.0,2365.0,2375.0,0.0012647554806070826
2020-05-07,SN2007,SN9999,XSGE,127370.0,129890.0,127200.0,128850.0,0.011619690664991756
2020-05-07,TS9999,WR9999,XSGE,3835.0,3880.0,3835.0,3880.0,0.011734028683181226
2020-05-07,ZN2007,ZN9999,XSGE,16425.0,16700.0,16405.0,16615.0,0.01156773211567732
