,security,trade_date,open,close,low,high,volume,open_interest,pre_close,high_limit,change_pct,distance,MA5,MA10,MA20
24,ZN9999.XSGE,2007-04-30,32310.0,32700.0,32120.0,32775.0,50030.0,28588.0,32270.0,33715.0,0.0133,,33082.0,32975.0,32170.0
25,ZN9999.XSGE,2007-05-08,33705.0,33705.0,33705.0,33705.0,584.0,28310.0,32700.0,33705.0,0.0307,,33010.0,33129.5,32416.25
26,ZN9999.XSGE,2007-05-09,35590.0,34555.0,34500.0,35590.0,96548.0,34890.0,33705.0,35050.0,0.0252,,33307.0,33226.0,32694.75
27,ZN9999.XSGE,2007-05-10,34190.0,34710.0,34105.0,34745.0,107616.0,38946.0,34555.0,36190.0,0.0045,,33588.0,33418.0,32918.0
28,ZN9999.XSGE,2007-05-11,33800.0,33330.0,33205.0,34000.0,85600.0,34698.0,34710.0,35820.0,-0.0398,,33800.0,33455.0,33015.25
29,ZN9999.XSGE,2007-05-14,33860.0,33410.0,33330.0,33900.0,71204.0,34302.0,33330.0,35050.0,0.0024,-0.0002,33942.0,33512.0,33076.0
30,ZN9999.XSGE,2007-05-15,32600.0,32255.0,32255.0,32630.0,55048.0,30324.0,33410.0,34940.0,-0.0346,-0.0004,33652.0,33331.0,33051.5
31,ZN9999.XSGE,2007-05-16,32300.0,31830.0,31435.0,32530.0,88234.0,29566.0,32255.0,33655.0,-0.0132,-0.0005,33107.0,33207.0,33023.25
32,ZN9999.XSGE,2007-05-17,30525.0,30520.0,30520.0,31015.0,57508.0,25270.0,31830.0,33065.0,-0.0412,-0.001,32269.0,32928.5,32901.5
33,ZN9999.XSGE,2007-05-18,29720.0,29355.0,28900.0,30140.0,128688.0,23178.0,30520.0,31925.0,-0.0382,-0.0018,31474.0,32637.0,32783.25
34,ZN9999.XSGE,2007-05-21,29545.0,30725.0,29545.0,30725.0,51496.0,20958.0,29355.0,30725.0,0.0467,-0.0016,30937.0,32439.5,32707.25
35,ZN9999.XSGE,2007-05-22,31350.0,30895.0,30565.0,32000.0,128026.0,23328.0,30725.0,31590.0,0.0055,-0.0051,30665.0,32158.5,32644.0
36,ZN9999.XSGE,2007-05-23,30110.0,30130.0,29920.0,30350.0,64856.0,22962.0,30895.0,32385.0,-0.0248,-0.0022,30325.0,31716.0,32471.0
37,ZN9999.XSGE,2007-05-24,29910.0,30585.0,29910.0,30600.0,82826.0,25334.0,30130.0,31375.0,0.0151,-0.0006,30338.0,31303.5,32360.75
38,ZN9999.XSGE,2007-05-25,29310.0,29800.0,29310.0,29880.0,53938.0,21868.0,30585.0,31570.0,-0.0257,-0.0006,30427.0,30950.5,32202.75
39,ZN9999.XSGE,2007-05-28,30650.0,30650.0,30650.0,30650.0,1540.0,20584.0,29800.0,30650.0,0.0285,-0.0001,30412.0,30674.5,32093.25
40,ZN9999.XSGE,2007-05-29,31200.0,30245.0,30120.0,31200.0,54810.0,21398.0,30650.0,31875.0,-0.0132,-0.0002,30282.0,30473.5,31902.25
